,time.sampled,elapsed.time.hrs,std.ref
stn1-d1-bulk-ara-1-t0,4/27/15 23:01,0,stdbins-gpc2-071515
stn1-d1-bulk-ara-1-t1,4/29/15 11:29,36.46666667,stdbins-gpc2-071515
stn1-d1-bulk-ara-1-t2,5/2/15 14:13,111.2,stdbins-gpc2-071515
stn1-d1-bulk-ara-1-t3,5/7/15 18:30,235.4833333,stdbins-gpc2-071515
stn1-d1-bulk-ara-1-t4,5/14/15 18:10,403.15,stdbins-gpc2-071515
stn1-d1-bulk-ara-1-t5,5/27/15 11:07,708.1,stdbins-gpc2-071515
stn1-d1-bulk-ara-1-t6,7/7/15 10:28,1691.45,stdbins-gpc2-071515
stn1-d1-bulk-ara-2-t0,4/27/15 23:01,0,stdbins-gpc2-071515
stn1-d1-bulk-ara-2-t1,4/29/15 11:29,36.46666667,stdbins-gpc2-071515
stn1-d1-bulk-ara-2-t2,5/2/15 14:13,111.2,stdbins-gpc2-071515
stn1-d1-bulk-ara-2-t3,5/7/15 18:30,235.4833333,stdbins-gpc2-071515
stn1-d1-bulk-ara-2-t4,5/14/15 18:10,403.15,stdbins-gpc2-071515
stn1-d1-bulk-ara-2-t5,5/27/15 11:07,708.1,stdbins-gpc2-071515
stn1-d1-bulk-ara-2-t6,7/7/15 10:28,1691.45,stdbins-gpc2-071515
stn1-d1-bulk-ara-3-t0,4/27/15 23:01,0,stdbins-gpc2-071515
stn1-d1-bulk-ara-3-t1,4/29/15 11:29,36.46666667,stdbins-gpc2-071515
stn1-d1-bulk-ara-3-t2,5/2/15 14:13,111.2,stdbins-gpc2-071515
stn1-d1-bulk-ara-3-t3,5/7/15 18:30,235.4833333,stdbins-gpc2-071515
stn1-d1-bulk-ara-3-t4,5/14/15 18:10,403.15,stdbins-gpc2-071515
stn1-d1-bulk-ara-3-t5,5/27/15 11:07,708.1,stdbins-gpc2-071515
stn1-d1-bulk-ara-3-t6,7/7/15 10:28,1691.45,stdbins-gpc2-071515
stn1-d1-bulk-ara-x-t0,4/27/15 23:01,0,stdbins-gpc2-071515
stn1-d1-bulk-ara-x-t1,4/29/15 11:29,36.46666667,stdbins-gpc2-071515
stn1-d1-bulk-ara-x-t2,5/2/15 14:13,111.2,stdbins-gpc2-071515
stn1-d1-bulk-ara-x-t3,5/7/15 18:30,235.4833333,stdbins-gpc2-071515
stn1-d1-bulk-ara-x-t4,5/14/15 18:10,403.15,stdbins-gpc2-071515
stn1-d1-bulk-ara-x-t5,5/27/15 11:07,708.1,stdbins-gpc2-071515
stn1-d1-bulk-ara-x-t6,7/7/15 10:28,1691.45,stdbins-gpc2-071515
stn1-d1-bulk-chon-1-t0,4/27/15 23:01,0,stdbins-gpc1-081015
stn1-d1-bulk-chon-1-t1,4/29/15 11:29,36.46666667,stdbins-gpc1-081015
stn1-d1-bulk-chon-1-t2,5/2/15 14:13,111.2,stdbins-gpc1-081015
stn1-d1-bulk-chon-1-t3,5/7/15 18:30,235.4833333,stdbins-gpc1-081015
stn1-d1-bulk-chon-1-t4,5/14/15 18:10,403.15,stdbins-gpc1-081015
stn1-d1-bulk-chon-1-t5,5/27/15 11:07,708.1,stdbins-gpc1-081015
